
State: AL
   Lat     Lon  COOP# StnID State City/Station Name               County                     Elev      Feb 1      Feb 2      Feb 3      Feb 4      Feb 5      Feb 6      Feb 7      Feb 8      Feb 9      Feb10      Feb11      Feb12      Feb13      Feb14      Feb15      Feb16      Feb17      Feb18      Feb19      Feb20      Feb21      Feb22      Feb23      Feb24      Feb25      Feb26      Feb27      Feb28
 33.11  -91.95 031730          AR CROSSETT 2 SSE                  ASHLEY                       180      0.000      0.000      0.000      0.200  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.300  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.000      0.000      0.000      0.000      0.000      0.000  -9999.000  -9999.000      0.000      0.000      0.000      0.000      0.000
 33.25  -91.51 035866          AR PORTLAND                        ASHLEY                       128      0.000      0.000      0.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.000      0.000      0.000      0.000  -9999.000  -9999.000  -9999.000      0.000      0.000      0.000      0.000
 36.35  -92.39 035036 MHMA4    AR MTN HOME 1 NNW                  BAXTER                       800  -9999.000      0.000  -9999.000  -9999.000      5.000      0.000      0.000  -9999.000      1.000      8.000      0.000      0.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 36.20  -93.11 033164          AR HARRISON                        BOONE                       1132  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.000
 36.27  -93.16 033165          AR HARRISON BOONE CO AP            BOONE                       1374      1.000      0.000      0.000      3.300      1.300      0.000      1.000      0.000     10.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 36.42  -92.92 034106 LDHA4    AR LEAD HILL                       BOONE                        830  -9999.000      0.100  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      5.000      3.000      0.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 36.49  -93.13 035428          AR OMAHA 4 NE                      BOONE                       1376  -9999.000      3.500  -9999.000  -9999.000      4.500  -9999.000  -9999.000  -9999.000      4.500      4.000      0.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 33.30  -92.37 034936          AR MORO BAY SP                     BRADLEY                       90  -9999.000  -9999.000  -9999.000  -9999.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 36.43  -93.63 030616          AR BERRYVILLE 5 NW                 CARROLL                     1180      0.500      0.500  -9999.000  -9999.000      0.500  -9999.000  -9999.000  -9999.000      0.300      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 36.42  -93.79 032356 EURA4    AR EUREKA SPRINGS 3 WNW            CARROLL                     1420  -9999.000      4.000  -9999.000  -9999.000      2.500  -9999.000  -9999.000  -9999.000      6.000      3.500  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
