lat,lng,COOP#,tnID,State,ity/Station Name,County,Elev,11_01,11_02,11_03,11_04,11_05,11_06,11_07,11_08,11_09,11_10,11_11,11_12,11_13,11_14,11_15,11_16,11_17,11_18,11_19,11_20,11_21,11_22,11_23,11_24,11_25,11_26,11_27,11_28,11_29,11_30,11_31,TotalSnow
45.73,-107.61,243915,HDNM,MT,HARDIN,BIG HORN,2905,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,3.000,0.000,1.000,0.000,2.100,0.000,0.000,0.000,-1,6.000,0.000,0,16.1
45.31,-107.94,249240,BHRM,MT,YELLOWTAIL DAM,BIG HORN,3305,0.000,0.000,0.000,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000,0.000,0.000,-1,-1,-1,-1,6.200,0.000,1.500,-1,-1,-1,-1,7.300,0.000,0,15.0
48.59,-109.23,241722,CNKM,MT,CHINOOK,BLAINE,2420,0.000,0.000,0.000,0.000,0.000,-1,-1,0.000,-1,0.000,0.000,0.000,-1,0.000,0.000,0.000,8.000,0.000,0.000,0.500,-1,-1,0.500,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0,9.5
49.00,-108.39,248415,TNRM,MT,TURNER 11N,BLAINE,2982,-1,-1,-1,-1,-1,-1,-1,0.100,1.500,0.000,0.000,0.000,0.100,-1,0.000,3.000,1.000,1.500,0.000,0.500,1.700,1.500,1.500,0.500,-1,-1,-1,0.400,-1,0.000,0,13.3
46.33,-111.54,248324,TOWM,MT,TOWNSEND,BROADWATER,3840,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000,0.000,-1,-1,-1,-1,0.000,0.000,0.100,2.500,0.000,0.800,0.500,0.800,1.500,0.500,-1,-1,-1,-1,0,6.7
45.33,-108.91,241102,,MT,BRIDGER 2 N,CARBON,3583,-1,0.000,0.000,0.000,-1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000,-1,0.000,-1,-1,-1,3.000,-1,-1,-1,0.000,0.000,0.000,0.000,-1,-1,8.000,0.000,0,11.0
45.49,-108.97,244506,JOLM,MT,JOLIET,CARBON,3776,-1,-1,-1,-1,-1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,2.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,7.000,0.000,0,12.1
45.18,-109.25,246918,RELM,MT,RED LODGE,CARBON,5637,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.600,2.600,0.000,0.000,0.000,0.000,2.500,2.800,0.000,0.000,0.000,9.000,3.600,0.000,0.000,1.400,-1,0.400,0.000,0.000,3.100,3.000,0.000,0,32.0
45.63,-104.39,240636,,MT,BELLTOWER,CARTER,3320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.500,-1,2.500,0.000,-1,-1,-1,-1,-1,1.800,0.000,0,4.8
45.89,-104.55,242689,EKLM,MT,EKALAKA,CARTER,3425,-1,-1,-1,-1,-1,-1,-1,-1,5.800,1.000,-1,-1,-1,0.500,-1,-1,4.000,0.000,0.000,0.400,1.800,2.800,-1,0.000,0.000,-1,-1,-1,3.500,-1,0,19.8
45.50,-104.45,247034,,MT,RIDGEWAY 1 S,CARTER,3316,0.000,-1,-1,0.000,-1,-1,-1,-1,9.000,-1,0.000,-1,0.000,-1,-1,-1,2.000,-1,0.000,-1,0.000,4.000,-1,-1,-1,0.000,0.000,-1,-1,-1,0,15.0
47.00,-111.58,241557,CSEM,MT,CASCADE 20 SSE,CASCADE,4600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,0.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,1.700,0.000,2.000,0.000,1.100,2.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0,13.8
47.49,-111.28,243749,,MT,GREAT FALLS 16ST,CASCADE,3505,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,-1,-1,0.000,2.400,0.000,0.000,-1,-1,-1,-1,0.000,5.400,0.000,0.000,0,9.8
47.47,-111.38,243751,GTF,MT,GREAT FALLS AP,CASCADE,3664,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.300,0.000,0.000,0.000,0.000,-1,0.000,3.800,1.500,1.900,0.000,3.300,0.300,1.000,1.600,0.000,0.000,0.000,0.200,5.200,-1,0.000,0,19.2
47.46,-111.38,243753,,MT,GREAT FALLS WFO,CASCADE,3705,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.300,0.000,0.000,0.000,0.000,0.000,0.000,3.800,1.500,1.900,0.000,0.200,3.100,0.600,1.600,0.000,0.000,0.000,0.200,5.200,0.000,0.000,0,18.5
47.04,-110.79,246007,,MT,NEIHART 7 NW,CASCADE,4945,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.500,2.000,0.000,0.000,1.400,0.500,0.000,6.800,11.100,0.600,1.400,0.000,2.600,0.900,0.600,1.800,-1,-1,0.000,0.000,0.000,2.300,0.000,0,36.5
47.81,-110.67,243113,FTBM,MT,FT BENTON,CHOUTEAU,2633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.800,0.700,1.400,2.500,1.000,0.900,1.100,-1,0.000,0.000,0.300,1.400,0.000,0,12.1
48.28,-110.60,247247,RYDM,MT,RUDYARD 19S,CHOUTEAU,2878,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000,-1,-1,-1,-1,0.000,-1,0.500,1.500,1.000,-1,3.000,-1,2.000,0.500,-1,-1,-1,0.000,1.000,-1,0,9.5
45.85,-105.03,246691,,MT,POWDERVILLE 8 NNE,CUSTER,2800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.500,0.000,0.000,0.500,1.500,2.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0,9.5
